line_key,model,horizon,n_obs,actual_total,wape_pct,mape_pct,bias_pct,bias_ratio
operations.voice,ridge_log,medium_term,1008,857374.0,14.32,11.07,-3.82,-0.267
operations.messaging,seasonal_naive,in_week,112,27827.0,18.64,16.04,-6.87,-0.368
operations.messaging,seasonal_naive,short_term,336,90559.0,26.6,18.06,-14.14,-0.532
operations.messaging,seasonal_naive,medium_term,1008,262361.0,29.31,23.29,-11.1,-0.379
operations.messaging,decomposition,in_week,112,27827.0,12.56,11.4,-3.76,-0.299
operations.messaging,decomposition,short_term,336,90559.0,18.09,12.98,-9.45,-0.523
operations.messaging,decomposition,medium_term,1008,262361.0,15.99,12.14,-8.83,-0.552
operations.messaging,ridge_log,in_week,112,27827.0,8.7,9.33,1.08,0.124
operations.messaging,ridge_log,short_term,336,90559.0,17.18,12.7,-6.26,-0.364
operations.messaging,ridge_log,medium_term,1008,262361.0,15.43,12.28,-4.35,-0.282
quality.voice,seasonal_naive,in_week,112,21095.0,16.05,16.79,-3.84,-0.239
quality.voice,seasonal_naive,short_term,336,66328.0,19.66,16.36,-8.25,-0.42
quality.voice,seasonal_naive,medium_term,1008,199687.0,23.33,21.92,-8.57,-0.368
quality.voice,decomposition,in_week,112,21095.0,12.0,13.37,-1.49,-0.124
quality.voice,decomposition,short_term,336,66328.0,17.0,13.72,-6.48,-0.381
quality.voice,decomposition,medium_term,1008,199687.0,15.14,13.57,-4.49,-0.297
quality.voice,ridge_log,in_week,112,21095.0,9.45,11.15,0.7,0.074
quality.voice,ridge_log,short_term,336,66328.0,16.6,13.43,-4.78,-0.288
quality.voice,ridge_log,medium_term,1008,199687.0,14.62,12.99,-2.72,-0.186
affordability.voice,seasonal_naive,in_week,110,63009.0,23.41,33.76,2.5,0.107
affordability.voice,seasonal_naive,short_term,327,206411.0,26.8,33.5,-7.24,-0.27
affordability.voice,seasonal_naive,medium_term,984,596821.0,30.64,37.91,-4.01,-0.131
affordability.voice,decomposition,in_week,110,63009.0,15.51,26.23,-0.97,-0.062
affordability.voice,decomposition,short_term,327,206411.0,13.82,23.38,-6.69,-0.484
affordability.voice,decomposition,medium_term,984,596821.0,14.23,24.0,-5.89,-0.414
affordability.voice,ridge_log,in_week,110,63009.0,13.37,23.35,-2.75,-0.206
affordability.voice,ridge_log,short_term,327,206411.0,12.39,22.22,-5.03,-0.406
affordability.voice,ridge_log,medium_term,984,596821.0,12.41,22.28,-4.65,-0.375
affordability.back_office,seasonal_naive,in_week,110,39077.0,26.06,42.05,-9.54,-0.366
affordability.back_office,seasonal_naive,short_term,327,122166.0,34.62,45.82,-14.27,-0.412
affordability.back_office,seasonal_naive,medium_term,984,358860.0,36.45,48.09,-12.77,-0.35
affordability.back_office,decomposition,in_week,110,39077.0,22.95,39.2,-13.67,-0.596
affordability.back_office,decomposition,short_term,327,122166.0,21.9,36.62,-13.78,-0.629
affordability.back_office,decomposition,medium_term,984,358860.0,22.12,37.32,-14.32,-0.648
affordability.back_office,ridge_log,in_week,110,39077.0,21.21,36.63,-14.85,-0.7
affordability.back_office,ridge_log,short_term,327,122166.0,20.98,35.81,-13.52,-0.644
affordability.back_office,ridge_log,medium_term,984,358860.0,20.96,35.93,-14.6,-0.696
movehome.voice,seasonal_naive,in_week,110,29660.0,16.01,27.8,-3.85,-0.24
movehome.voice,seasonal_naive,short_term,327,89549.0,15.75,25.47,-5.77,-0.366
movehome.voice,seasonal_naive,medium_term,984,273239.0,21.85,31.92,-6.85,-0.314
movehome.voice,decomposition,in_week,110,29660.0,15.71,27.73,-2.55,-0.162
movehome.voice,decomposition,short_term,327,89549.0,13.87,23.63,-3.6,-0.26
movehome.voice,decomposition,medium_term,984,273239.0,14.33,24.79,-2.6,-0.181
movehome.voice,ridge_log,in_week,110,29660.0,13.93,25.06,-2.19,-0.157
movehome.voice,ridge_log,short_term,327,89549.0,12.64,22.58,-2.8,-0.222
movehome.voice,ridge_log,medium_term,984,273239.0,13.12,23.24,-2.33,-0.177
movehome.webchat,seasonal_naive,in_week,110,23761.0,15.78,27.48,-2.3,-0.146
movehome.webchat,seasonal_naive,short_term,327,74349.0,15.97,25.83,-7.76,-0.486
movehome.webchat,seasonal_naive,medium_term,984,230652.0,21.91,31.8,-10.3,-0.47
movehome.webchat,decomposition,in_week,110,23761.0,15.25,26.94,-0.38,-0.025
movehome.webchat,decomposition,short_term,327,74349.0,13.28,23.41,-5.34,-0.402
movehome.webchat,decomposition,medium_term,984,230652.0,13.52,24.14,-4.84,-0.358
movehome.webchat,ridge_log,in_week,110,23761.0,14.04,24.64,-0.99,-0.07
movehome.webchat,ridge_log,short_term,327,74349.0,12.61,22.8,-4.66,-0.369
movehome.webchat,ridge_log,medium_term,984,230652.0,12.76,23.03,-3.51,-0.275
welsh.voice,seasonal_naive,in_week,110,6009.0,24.75,36.71,-2.04,-0.082
welsh.voice,seasonal_naive,short_term,327,18718.0,24.52,32.63,-6.8,-0.277
welsh.voice,seasonal_naive,medium_term,984,54442.0,27.59,36.69,-3.15,-0.114
welsh.voice,decomposition,in_week,110,6009.0,19.72,32.43,-1.49,-0.075
welsh.voice,decomposition,short_term,327,18718.0,17.44,26.78,-7.23,-0.414
welsh.voice,decomposition,medium_term,984,54442.0,18.42,28.8,-5.53,-0.3
welsh.voice,ridge_log,in_week,110,6009.0,19.04,30.56,-0.05,-0.003
welsh.voice,ridge_log,short_term,327,18718.0,16.21,26.21,-5.17,-0.319
welsh.voice,ridge_log,medium_term,984,54442.0,16.9,27.49,-3.72,-0.22
complaints.back_office,seasonal_naive,in_week,110,16732.0,26.07,40.36,-13.49,-0.517
complaints.back_office,seasonal_naive,short_term,327,50577.0,26.24,39.93,-15.33,-0.584
complaints.back_office,seasonal_naive,medium_term,984,147095.0,30.38,43.64,-12.16,-0.4
complaints.back_office,decomposition,in_week,110,16732.0,23.91,39.09,-12.3,-0.514
complaints.back_office,decomposition,short_term,327,50577.0,23.76,37.98,-16.11,-0.678
complaints.back_office,decomposition,medium_term,984,147095.0,23.11,37.85,-14.09,-0.61
complaints.back_office,ridge_log,in_week,110,16732.0,21.31,36.1,-12.14,-0.569
complaints.back_office,ridge_log,short_term,327,50577.0,22.41,36.87,-14.05,-0.627
complaints.back_office,ridge_log,medium_term,984,147095.0,21.63,36.26,-13.17,-0.609
billing.back_office,seasonal_naive,in_week,110,57297.0,29.2,44.31,-10.68,-0.366
billing.back_office,seasonal_naive,short_term,327,181608.0,35.96,46.85,-16.49,-0.459
billing.back_office,seasonal_naive,medium_term,984,518402.0,37.34,49.16,-11.9,-0.319
billing.back_office,decomposition,in_week,110,57297.0,22.16,38.98,-10.48,-0.473
billing.back_office,decomposition,short_term,327,181608.0,23.0,36.6,-17.24,-0.75
billing.back_office,decomposition,medium_term,984,518402.0,21.93,36.78,-14.76,-0.673
billing.back_office,ridge_log,in_week,110,57297.0,19.89,35.89,-10.52,-0.529
billing.back_office,ridge_log,short_term,327,181608.0,21.02,35.45,-13.66,-0.65
billing.back_office,ridge_log,medium_term,984,518402.0,20.13,35.16,-12.28,-0.61
