interval,interval_start,contacts,staffed,required,deficit_fte,projected_sl,recommended_action,line_key
33,16:30,17.0,4.5,7.0,2.5,0.119,Re-time breaks and release off-line activity,metering.voice
34,17:00,6.0,1.5,3.0,1.5,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",metering.voice
35,17:30,4.0,1.0,3.0,2.0,0.0,Re-time breaks and release off-line activity,metering.voice
26,13:00,16.0,2.4,5.0,2.6,0.0,Re-time breaks and release off-line activity,operations.voice
27,13:30,25.0,4.5,8.0,3.5,0.0,Re-time breaks and release off-line activity,operations.voice
28,14:00,22.0,4.2,7.0,2.8,0.0,Re-time breaks and release off-line activity,operations.voice
29,14:30,19.0,4.5,6.0,1.5,0.295,"Release off-line activity (coaching, 1-2-1s) in this interval",operations.voice
30,15:00,31.0,5.4,9.0,3.6,0.0,Re-time breaks and release off-line activity,operations.voice
31,15:30,30.0,6.2,9.0,2.8,0.245,Re-time breaks and release off-line activity,operations.voice
32,16:00,21.0,3.6,7.0,3.4,0.0,Re-time breaks and release off-line activity,operations.voice
33,16:30,22.0,4.2,7.0,2.8,0.0,Re-time breaks and release off-line activity,operations.voice
34,17:00,16.0,2.2,5.0,2.8,0.0,Re-time breaks and release off-line activity,operations.voice
35,17:30,10.0,2.1,4.0,1.9,0.134,"Release off-line activity (coaching, 1-2-1s) in this interval",operations.voice
36,18:00,14.0,2.6,5.0,2.4,0.0,Re-time breaks and release off-line activity,operations.voice
37,18:30,15.0,2.5,5.0,2.5,0.0,Re-time breaks and release off-line activity,operations.voice
38,19:00,6.0,1.2,3.0,1.8,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",operations.voice
39,19:30,14.0,3.2,5.0,1.8,0.281,"Release off-line activity (coaching, 1-2-1s) in this interval",operations.voice
40,20:00,6.0,1.1,3.0,1.9,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",operations.voice
41,20:30,6.0,1.3,3.0,1.7,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",operations.voice
42,21:00,1.0,0.2,1.0,0.8,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",operations.voice
43,21:30,4.0,0.8,2.0,1.2,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",operations.voice
44,22:00,1.0,0.1,1.0,0.9,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",operations.voice
45,22:30,2.0,0.4,2.0,1.6,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",operations.voice
46,23:00,3.0,0.4,2.0,1.6,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",operations.voice
47,23:30,1.0,0.2,1.0,0.8,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",operations.voice
26,13:00,4.0,1.0,3.0,2.0,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",quality.voice
27,13:30,5.0,1.2,3.0,1.8,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",quality.voice
28,14:00,19.0,3.0,8.0,5.0,0.0,"Cross-skill from an over-covered queue, then re-time breaks",quality.voice
29,14:30,8.0,2.4,4.0,1.6,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",quality.voice
30,15:00,19.0,5.5,8.0,2.5,0.131,Re-time breaks and release off-line activity,quality.voice
31,15:30,7.0,1.6,4.0,2.4,0.0,Re-time breaks and release off-line activity,quality.voice
32,16:00,11.0,2.6,5.0,2.4,0.0,Re-time breaks and release off-line activity,quality.voice
33,16:30,12.0,3.5,6.0,2.5,0.0,Re-time breaks and release off-line activity,quality.voice
34,17:00,3.0,0.7,2.0,1.3,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",quality.voice
35,17:30,4.0,0.9,3.0,2.1,0.0,Re-time breaks and release off-line activity,quality.voice
36,18:00,5.0,1.3,3.0,1.7,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",quality.voice
37,18:30,8.0,1.9,4.0,2.1,0.0,Re-time breaks and release off-line activity,quality.voice
38,19:00,4.0,0.9,3.0,2.1,0.0,Re-time breaks and release off-line activity,quality.voice
39,19:30,4.0,1.0,3.0,2.0,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",quality.voice
40,20:00,3.0,0.9,2.0,1.1,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",quality.voice
42,21:00,4.0,1.1,3.0,1.9,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",quality.voice
43,21:30,2.0,0.5,2.0,1.5,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",quality.voice
45,22:30,1.0,0.2,2.0,1.8,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",quality.voice
46,23:00,1.0,0.2,2.0,1.8,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",quality.voice
47,23:30,1.0,0.2,2.0,1.8,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",quality.voice
26,13:00,14.0,4.6,7.0,2.4,0.0,Re-time breaks and release off-line activity,affordability.voice
27,13:30,30.0,9.1,13.0,3.9,0.009,Re-time breaks and release off-line activity,affordability.voice
28,14:00,43.0,16.0,17.0,1.0,0.566,"Release off-line activity (coaching, 1-2-1s) in this interval",affordability.voice
29,14:30,30.0,10.5,13.0,2.5,0.362,Re-time breaks and release off-line activity,affordability.voice
30,15:00,38.0,11.8,16.0,4.2,0.0,Re-time breaks and release off-line activity,affordability.voice
31,15:30,31.0,9.8,13.0,3.2,0.0,Re-time breaks and release off-line activity,affordability.voice
32,16:00,18.0,5.5,9.0,3.5,0.0,Re-time breaks and release off-line activity,affordability.voice
33,16:30,18.0,4.9,9.0,4.1,0.0,Re-time breaks and release off-line activity,affordability.voice
34,17:00,3.0,1.0,3.0,2.0,0.106,"Release off-line activity (coaching, 1-2-1s) in this interval",affordability.voice
35,17:30,1.0,0.3,2.0,1.7,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",affordability.voice
26,13:00,6.0,1.6,3.0,1.4,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",movehome.voice
27,13:30,25.0,6.3,9.0,2.7,0.201,Re-time breaks and release off-line activity,movehome.voice
28,14:00,26.0,5.7,9.0,3.3,0.0,Re-time breaks and release off-line activity,movehome.voice
29,14:30,27.0,7.3,9.0,1.7,0.405,"Release off-line activity (coaching, 1-2-1s) in this interval",movehome.voice
30,15:00,25.0,7.1,9.0,1.9,0.552,"Release off-line activity (coaching, 1-2-1s) in this interval",movehome.voice
31,15:30,13.0,2.9,5.0,2.1,0.0,Re-time breaks and release off-line activity,movehome.voice
32,16:00,12.0,2.3,5.0,2.7,0.0,Re-time breaks and release off-line activity,movehome.voice
33,16:30,4.0,1.0,3.0,2.0,0.111,"Release off-line activity (coaching, 1-2-1s) in this interval",movehome.voice
34,17:00,2.0,0.6,2.0,1.4,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",movehome.voice
35,17:30,1.0,0.2,2.0,1.8,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",movehome.voice
26,13:00,7.0,0.9,3.0,2.0,0.0,Re-time breaks and release off-line activity,movehome.webchat
27,13:30,23.0,4.2,6.0,1.8,0.252,"Release off-line activity (coaching, 1-2-1s) in this interval",movehome.webchat
28,14:00,27.0,4.8,7.0,2.2,0.0,Re-time breaks and release off-line activity,movehome.webchat
29,14:30,25.0,3.5,7.0,3.5,0.0,Re-time breaks and release off-line activity,movehome.webchat
30,15:00,30.0,5.0,8.0,3.0,0.19,Re-time breaks and release off-line activity,movehome.webchat
31,15:30,22.0,3.7,6.0,2.3,0.0,Re-time breaks and release off-line activity,movehome.webchat
32,16:00,21.0,3.6,6.0,2.4,0.0,Re-time breaks and release off-line activity,movehome.webchat
33,16:30,11.0,2.1,4.0,1.9,0.23,"Release off-line activity (coaching, 1-2-1s) in this interval",movehome.webchat
27,13:30,4.0,1.2,3.0,1.8,0.037,"Release off-line activity (coaching, 1-2-1s) in this interval",welsh.voice
28,14:00,7.0,1.7,4.0,2.3,0.0,Re-time breaks and release off-line activity,welsh.voice
29,14:30,5.0,1.3,3.0,1.7,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",welsh.voice
30,15:00,2.0,0.5,2.0,1.5,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",welsh.voice
31,15:30,3.0,0.7,2.0,1.3,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",welsh.voice
32,16:00,4.0,1.1,3.0,1.9,0.037,"Release off-line activity (coaching, 1-2-1s) in this interval",welsh.voice
33,16:30,4.0,1.0,3.0,2.0,0.0,Re-time breaks and release off-line activity,welsh.voice
34,17:00,3.0,0.7,2.0,1.3,0.0,"Release off-line activity (coaching, 1-2-1s) in this interval",welsh.voice
