date,interval,interval_start,line_key,channel,contacts,on_phone_required,rostered_required,service_level,occupancy,binding_constraint
2026-08-18,32,16:00,billing.voice,voice,81.77,23.0,31.84,0.8313,0.794,service_level
2026-08-18,33,16:30,billing.voice,voice,55.39,17.0,23.53,0.8756,0.7277,service_level
2026-08-18,34,17:00,billing.voice,voice,20.21,7.0,9.69,0.8059,0.6447,service_level
2026-08-18,35,17:30,billing.voice,voice,11.03,5.0,6.92,0.8908,0.4925,service_level
2026-08-19,16,08:00,billing.voice,voice,28.23,10.0,13.84,0.8906,0.6304,service_level
2026-08-19,17,08:30,billing.voice,voice,81.95,23.0,31.84,0.8281,0.7957,service_level
2026-08-19,18,09:00,billing.voice,voice,113.12,31.0,42.91,0.851,0.8149,service_level
2026-08-19,19,09:30,billing.voice,voice,135.14,36.0,49.83,0.8316,0.8384,service_level
2026-08-19,20,10:00,billing.voice,voice,140.14,37.0,51.22,0.8196,0.8459,service_level
2026-08-19,21,10:30,billing.voice,voice,127.12,34.0,47.07,0.8275,0.835,service_level
2026-08-19,22,11:00,billing.voice,voice,102.52,28.0,38.76,0.8251,0.8177,service_level
2026-08-19,23,11:30,billing.voice,voice,73.65,21.0,29.07,0.8322,0.7833,service_level
2026-08-19,24,12:00,billing.voice,voice,44.04,14.0,19.38,0.8722,0.7025,service_level
2026-08-19,25,12:30,billing.voice,voice,27.6,9.0,12.46,0.8074,0.685,service_level
2026-08-19,26,13:00,billing.voice,voice,44.94,14.0,19.38,0.8539,0.7169,service_level
2026-08-19,27,13:30,billing.voice,voice,81.54,23.0,31.84,0.8354,0.7917,service_level
2026-08-19,28,14:00,billing.voice,voice,107.02,29.0,40.14,0.8186,0.8242,service_level
2026-08-19,29,14:30,billing.voice,voice,114.2,31.0,42.91,0.8354,0.8227,service_level
2026-08-19,30,15:00,billing.voice,voice,107.17,29.0,40.14,0.8161,0.8253,service_level
2026-08-19,31,15:30,billing.voice,voice,90.11,25.0,34.61,0.8274,0.805,service_level
2026-08-19,32,16:00,billing.voice,voice,68.02,20.0,27.69,0.8612,0.7595,service_level
2026-08-19,33,16:30,billing.voice,voice,46.08,14.0,19.38,0.8281,0.735,service_level
2026-08-19,34,17:00,billing.voice,voice,16.81,7.0,9.69,0.912,0.5363,service_level
2026-08-19,35,17:30,billing.voice,voice,9.17,4.0,5.54,0.8312,0.5121,service_level
2026-08-20,16,08:00,billing.voice,voice,27.87,10.0,13.84,0.8981,0.6224,service_level
2026-08-20,17,08:30,billing.voice,voice,80.9,23.0,31.84,0.8463,0.7856,service_level
2026-08-20,18,09:00,billing.voice,voice,111.68,30.0,41.53,0.8096,0.8314,service_level
2026-08-20,19,09:30,billing.voice,voice,133.43,36.0,49.83,0.8545,0.8277,service_level
2026-08-20,20,10:00,billing.voice,voice,138.36,37.0,51.22,0.8443,0.8351,service_level
2026-08-20,21,10:30,billing.voice,voice,125.51,34.0,47.07,0.8502,0.8244,service_level
2026-08-20,22,11:00,billing.voice,voice,101.22,28.0,38.76,0.8457,0.8073,service_level
2026-08-20,23,11:30,billing.voice,voice,72.72,21.0,29.07,0.849,0.7733,service_level
2026-08-20,24,12:00,billing.voice,voice,43.48,14.0,19.38,0.8826,0.6935,service_level
2026-08-20,25,12:30,billing.voice,voice,27.25,9.0,12.46,0.819,0.6763,service_level
2026-08-20,26,13:00,billing.voice,voice,44.37,14.0,19.38,0.8657,0.7078,service_level
2026-08-20,27,13:30,billing.voice,voice,80.5,23.0,31.84,0.8529,0.7817,service_level
2026-08-20,28,14:00,billing.voice,voice,105.66,29.0,40.14,0.8403,0.8137,service_level
2026-08-20,29,14:30,billing.voice,voice,112.74,31.0,42.91,0.8561,0.8122,service_level
2026-08-20,30,15:00,billing.voice,voice,105.8,29.0,40.14,0.8381,0.8148,service_level
2026-08-20,31,15:30,billing.voice,voice,88.97,25.0,34.61,0.8465,0.7948,service_level
2026-08-20,32,16:00,billing.voice,voice,67.15,19.0,26.3,0.8001,0.7893,service_level
2026-08-20,33,16:30,billing.voice,voice,45.49,14.0,19.38,0.8418,0.7257,service_level
2026-08-20,34,17:00,billing.voice,voice,16.6,6.0,8.31,0.8054,0.6177,service_level
2026-08-20,35,17:30,billing.voice,voice,9.06,4.0,5.54,0.8374,0.5056,service_level
2026-08-21,16,08:00,billing.voice,voice,28.73,10.0,13.84,0.8796,0.6417,service_level
2026-08-21,17,08:30,billing.voice,voice,83.41,23.0,31.84,0.8,0.8099,service_level
2026-08-21,18,09:00,billing.voice,voice,115.13,31.0,42.91,0.8209,0.8295,service_level
2026-08-21,19,09:30,billing.voice,voice,137.55,37.0,51.22,0.8546,0.8303,service_level
2026-08-21,20,10:00,billing.voice,voice,142.64,38.0,52.6,0.8427,0.8383,service_level
2026-08-21,21,10:30,billing.voice,voice,129.39,35.0,48.45,0.8534,0.8256,service_level
2026-08-21,22,11:00,billing.voice,voice,104.34,29.0,40.14,0.8593,0.8036,service_level
2026-08-21,23,11:30,billing.voice,voice,74.96,21.0,29.07,0.8062,0.7972,service_level
2026-08-21,24,12:00,billing.voice,voice,44.82,14.0,19.38,0.8564,0.715,service_level
2026-08-21,25,12:30,billing.voice,voice,28.1,10.0,13.84,0.8934,0.6275,service_level
2026-08-21,26,13:00,billing.voice,voice,45.74,14.0,19.38,0.8361,0.7296,service_level
2026-08-21,27,13:30,billing.voice,voice,82.99,23.0,31.84,0.8083,0.8058,service_level
2026-08-21,28,14:00,billing.voice,voice,108.93,30.0,41.53,0.8523,0.8109,service_level
2026-08-21,29,14:30,billing.voice,voice,116.23,31.0,42.91,0.8027,0.8374,service_level
2026-08-21,30,15:00,billing.voice,voice,109.08,30.0,41.53,0.8502,0.812,service_level
2026-08-21,31,15:30,billing.voice,voice,91.72,26.0,35.99,0.8658,0.7878,service_level
2026-08-21,32,16:00,billing.voice,voice,69.23,20.0,27.69,0.8399,0.7731,service_level
2026-08-21,33,16:30,billing.voice,voice,46.9,14.0,19.38,0.8076,0.7481,service_level
2026-08-21,34,17:00,billing.voice,voice,17.11,7.0,9.69,0.9048,0.5458,service_level
2026-08-21,35,17:30,billing.voice,voice,9.34,4.0,5.54,0.8223,0.5212,service_level
2026-08-22,17,08:30,billing.voice,voice,45.06,14.0,19.38,0.8512,0.7188,service_level
2026-08-22,18,09:00,billing.voice,voice,113.1,31.0,42.91,0.8513,0.8148,service_level
2026-08-22,19,09:30,billing.voice,voice,135.12,36.0,49.83,0.832,0.8382,service_level
2026-08-22,20,10:00,billing.voice,voice,140.11,37.0,51.22,0.82,0.8457,service_level
2026-08-22,21,10:30,billing.voice,voice,127.1,34.0,47.07,0.8279,0.8348,service_level
2026-08-22,22,11:00,billing.voice,voice,102.5,28.0,38.76,0.8254,0.8175,service_level
2026-08-22,23,11:30,billing.voice,voice,73.64,21.0,29.07,0.8324,0.7831,service_level
2026-08-22,24,12:00,billing.voice,voice,44.03,14.0,19.38,0.8724,0.7023,service_level
2026-08-22,25,12:30,billing.voice,voice,16.56,6.0,8.31,0.807,0.6164,service_level
2026-08-22,26,13:00,billing.voice,voice,26.96,9.0,12.46,0.8284,0.6689,service_level
2026-08-24,16,08:00,billing.voice,voice,33.28,11.0,15.23,0.8597,0.6756,service_level
2026-08-24,17,08:30,billing.voice,voice,96.6,27.0,37.38,0.8538,0.7991,service_level
2026-08-24,18,09:00,billing.voice,voice,133.35,36.0,49.83,0.8555,0.8273,service_level
2026-08-24,19,09:30,billing.voice,voice,159.31,42.0,58.14,0.8424,0.8471,service_level
2026-08-24,20,10:00,billing.voice,voice,165.2,44.0,60.91,0.8702,0.8385,occupancy
2026-08-24,21,10:30,billing.voice,voice,149.86,40.0,55.37,0.8561,0.8367,service_level
2026-08-24,22,11:00,billing.voice,voice,120.85,33.0,45.68,0.8573,0.8179,service_level
2026-08-24,23,11:30,billing.voice,voice,86.83,24.0,33.22,0.813,0.808,service_level
2026-08-24,24,12:00,billing.voice,voice,51.91,16.0,22.15,0.8687,0.7246,service_level
2026-08-24,25,12:30,billing.voice,voice,32.54,11.0,15.23,0.8766,0.6607,service_level
2026-08-24,26,13:00,billing.voice,voice,52.98,16.0,22.15,0.8482,0.7394,service_level
2026-08-24,27,13:30,billing.voice,voice,96.12,27.0,37.38,0.8607,0.7951,service_level
2026-08-24,28,14:00,billing.voice,voice,126.16,34.0,47.07,0.8413,0.8287,service_level
2026-08-24,29,14:30,billing.voice,voice,134.62,36.0,49.83,0.8389,0.8351,service_level
2026-08-24,30,15:00,billing.voice,voice,126.33,34.0,47.07,0.8389,0.8298,service_level
2026-08-24,31,15:30,billing.voice,voice,106.23,29.0,40.14,0.8315,0.8181,service_level
2026-08-24,32,16:00,billing.voice,voice,80.18,23.0,31.84,0.8579,0.7786,service_level
2026-08-24,33,16:30,billing.voice,voice,54.32,16.0,22.15,0.8192,0.7582,service_level
2026-08-24,34,17:00,billing.voice,voice,19.82,7.0,9.69,0.821,0.6322,service_level
2026-08-24,35,17:30,billing.voice,voice,10.81,5.0,6.92,0.8981,0.483,service_level
2026-08-25,16,08:00,billing.voice,voice,30.01,10.0,13.84,0.8478,0.6703,service_level
2026-08-25,17,08:30,billing.voice,voice,87.12,24.0,33.22,0.8074,0.8107,service_level
2026-08-25,18,09:00,billing.voice,voice,120.26,32.0,44.3,0.8047,0.8393,service_level
2026-08-25,19,09:30,billing.voice,voice,143.68,38.0,52.6,0.8286,0.8444,service_level
2026-08-25,20,10:00,billing.voice,voice,148.99,40.0,55.37,0.8661,0.8319,occupancy
2026-08-25,21,10:30,billing.voice,voice,135.15,36.0,49.83,0.8315,0.8384,service_level
2026-08-25,22,11:00,billing.voice,voice,108.99,30.0,41.53,0.8514,0.8114,service_level
2026-08-25,23,11:30,billing.voice,voice,78.3,22.0,30.45,0.8205,0.7949,service_level
2026-08-25,24,12:00,billing.voice,voice,46.82,14.0,19.38,0.8097,0.7468,service_level
2026-08-25,25,12:30,billing.voice,voice,29.35,10.0,13.84,0.8649,0.6554,service_level
2026-08-25,26,13:00,billing.voice,voice,47.78,15.0,20.76,0.8738,0.7113,service_level
2026-08-25,27,13:30,billing.voice,voice,86.69,24.0,33.22,0.8156,0.8067,service_level
2026-08-25,28,14:00,billing.voice,voice,113.78,31.0,42.91,0.8416,0.8197,service_level
2026-08-25,29,14:30,billing.voice,voice,121.41,33.0,45.68,0.8499,0.8217,service_level
2026-08-25,30,15:00,billing.voice,voice,113.94,31.0,42.91,0.8393,0.8208,service_level
2026-08-25,31,15:30,billing.voice,voice,95.81,27.0,37.38,0.8651,0.7925,service_level
2026-08-25,32,16:00,billing.voice,voice,72.31,21.0,29.07,0.8559,0.769,service_level
2026-08-25,33,16:30,billing.voice,voice,48.99,15.0,20.76,0.8501,0.7294,service_level
2026-08-25,34,17:00,billing.voice,voice,17.87,7.0,9.69,0.8847,0.5702,service_level
2026-08-25,35,17:30,billing.voice,voice,9.75,5.0,6.92,0.9296,0.4356,service_level
2026-08-26,16,08:00,billing.voice,voice,38.21,12.0,16.61,0.8313,0.7111,service_level
2026-08-26,17,08:30,billing.voice,voice,110.92,30.0,41.53,0.8223,0.8257,service_level
2026-08-26,18,09:00,billing.voice,voice,153.11,41.0,56.76,0.8663,0.834,occupancy
2026-08-26,19,09:30,billing.voice,voice,182.92,49.0,67.83,0.8979,0.8337,occupancy
2026-08-26,20,10:00,billing.voice,voice,189.68,50.0,69.21,0.8753,0.8472,occupancy
2026-08-26,21,10:30,billing.voice,voice,172.06,46.0,63.68,0.8843,0.8354,occupancy
2026-08-26,22,11:00,billing.voice,voice,138.76,37.0,51.22,0.839,0.8376,service_level
2026-08-26,23,11:30,billing.voice,voice,99.69,27.0,37.38,0.8025,0.8246,service_level
2026-08-26,24,12:00,billing.voice,voice,59.6,18.0,24.92,0.8703,0.7395,service_level
2026-08-26,25,12:30,billing.voice,voice,37.36,12.0,16.61,0.8522,0.6953,service_level
2026-08-26,26,13:00,billing.voice,voice,60.82,18.0,24.92,0.8485,0.7547,service_level
2026-08-26,27,13:30,billing.voice,voice,110.36,30.0,41.53,0.8311,0.8216,service_level
2026-08-26,28,14:00,billing.voice,voice,144.86,39.0,53.99,0.866,0.8295,occupancy
2026-08-26,29,14:30,billing.voice,voice,154.57,41.0,56.76,0.8495,0.8419,service_level
2026-08-26,30,15:00,billing.voice,voice,145.05,39.0,53.99,0.8638,0.8306,occupancy
2026-08-26,31,15:30,billing.voice,voice,121.97,33.0,45.68,0.8422,0.8255,service_level
2026-08-26,32,16:00,billing.voice,voice,92.06,26.0,35.99,0.8609,0.7908,service_level
2026-08-26,33,16:30,billing.voice,voice,62.37,18.0,24.92,0.8172,0.7738,service_level
2026-08-26,34,17:00,billing.voice,voice,22.75,8.0,11.07,0.8448,0.6351,service_level
2026-08-26,35,17:30,billing.voice,voice,12.41,5.0,6.92,0.8357,0.5545,service_level
2026-08-27,16,08:00,billing.voice,voice,34.8,11.0,15.23,0.8197,0.7066,service_level
2026-08-27,17,08:30,billing.voice,voice,101.03,28.0,38.76,0.8484,0.8059,service_level
2026-08-27,18,09:00,billing.voice,voice,139.47,37.0,51.22,0.8293,0.8418,service_level
2026-08-27,19,09:30,billing.voice,voice,166.62,44.0,60.91,0.8548,0.8457,occupancy
2026-08-27,20,10:00,billing.voice,voice,172.78,46.0,63.68,0.8775,0.8389,occupancy
2026-08-27,21,10:30,billing.voice,voice,156.73,42.0,58.14,0.8719,0.8334,occupancy
2026-08-27,22,11:00,billing.voice,voice,126.4,34.0,47.07,0.838,0.8303,service_level
2026-08-27,23,11:30,billing.voice,voice,90.81,25.0,34.61,0.8149,0.8112,service_level
2026-08-27,24,12:00,billing.voice,voice,54.29,16.0,22.15,0.8198,0.7578,service_level
2026-08-27,25,12:30,billing.voice,voice,34.03,11.0,15.23,0.8408,0.691,service_level
2026-08-27,26,13:00,billing.voice,voice,55.4,17.0,23.53,0.8754,0.7279,service_level
2026-08-27,27,13:30,billing.voice,voice,100.53,28.0,38.76,0.8557,0.8018,service_level
2026-08-27,28,14:00,billing.voice,voice,131.95,35.0,48.45,0.8174,0.842,service_level
2026-08-27,29,14:30,billing.voice,voice,140.79,37.0,51.22,0.8097,0.8498,service_level
2026-08-27,30,15:00,billing.voice,voice,132.13,35.0,48.45,0.8147,0.8431,service_level
2026-08-27,31,15:30,billing.voice,voice,111.1,30.0,41.53,0.8193,0.8271,service_level
2026-08-27,32,16:00,billing.voice,voice,83.86,24.0,33.22,0.863,0.7804,service_level
2026-08-27,33,16:30,billing.voice,voice,56.81,17.0,23.53,0.8499,0.7463,service_level
2026-08-27,34,17:00,billing.voice,voice,20.72,8.0,11.07,0.9,0.5786,service_level
2026-08-27,35,17:30,billing.voice,voice,11.31,5.0,6.92,0.8807,0.5051,service_level
2026-08-28,16,08:00,billing.voice,voice,32.43,11.0,15.23,0.8789,0.6585,service_level
2026-08-28,17,08:30,billing.voice,voice,94.15,26.0,35.99,0.8281,0.8087,service_level
2026-08-28,18,09:00,billing.voice,voice,129.96,35.0,48.45,0.8458,0.8293,service_level
2026-08-28,19,09:30,billing.voice,voice,155.27,41.0,56.76,0.8408,0.8458,service_level
2026-08-28,20,10:00,billing.voice,voice,161.01,43.0,59.52,0.8706,0.8362,occupancy
2026-08-28,21,10:30,billing.voice,voice,146.05,39.0,53.99,0.852,0.8364,service_level
2026-08-28,22,11:00,billing.voice,voice,117.78,32.0,44.3,0.8431,0.822,service_level
2026-08-28,23,11:30,billing.voice,voice,84.62,24.0,33.22,0.8513,0.7874,service_level
2026-08-28,24,12:00,billing.voice,voice,50.59,15.0,20.76,0.8138,0.7533,service_level
2026-08-28,25,12:30,billing.voice,voice,31.71,11.0,15.23,0.8937,0.6439,service_level
2026-08-28,26,13:00,billing.voice,voice,51.63,16.0,22.15,0.8737,0.7207,service_level
2026-08-28,27,13:30,billing.voice,voice,93.68,26.0,35.99,0.836,0.8047,service_level
2026-08-28,28,14:00,billing.voice,voice,122.96,33.0,45.68,0.8279,0.8321,service_level
2026-08-28,29,14:30,billing.voice,voice,131.2,35.0,48.45,0.8286,0.8372,service_level
2026-08-28,30,15:00,billing.voice,voice,123.12,33.0,45.68,0.8253,0.8333,service_level
2026-08-28,31,15:30,billing.voice,voice,103.53,28.0,38.76,0.8076,0.8258,service_level
2026-08-28,32,16:00,billing.voice,voice,78.15,22.0,30.45,0.8235,0.7933,service_level
2026-08-28,33,16:30,billing.voice,voice,52.94,16.0,22.15,0.849,0.7389,service_level
2026-08-28,34,17:00,billing.voice,voice,19.31,7.0,9.69,0.8393,0.6161,service_level
2026-08-28,35,17:30,billing.voice,voice,10.54,5.0,6.92,0.907,0.4707,service_level
2026-08-29,17,08:30,billing.voice,voice,45.04,14.0,19.38,0.8516,0.7186,service_level
2026-08-29,18,09:00,billing.voice,voice,113.06,31.0,42.91,0.8518,0.8145,service_level
2026-08-29,19,09:30,billing.voice,voice,135.07,36.0,49.83,0.8326,0.8379,service_level
2026-08-29,20,10:00,billing.voice,voice,140.06,37.0,51.22,0.8207,0.8454,service_level
2026-08-29,21,10:30,billing.voice,voice,127.05,34.0,47.07,0.8286,0.8346,service_level
2026-08-29,22,11:00,billing.voice,voice,102.46,28.0,38.76,0.826,0.8172,service_level
2026-08-29,23,11:30,billing.voice,voice,73.61,21.0,29.07,0.8329,0.7829,service_level
2026-08-29,24,12:00,billing.voice,voice,44.01,14.0,19.38,0.8727,0.7021,service_level
2026-08-29,25,12:30,billing.voice,voice,16.55,6.0,8.31,0.8072,0.6161,service_level
2026-08-29,26,13:00,billing.voice,voice,26.95,9.0,12.46,0.8286,0.6687,service_level
2026-08-17,16,08:00,billing.webchat,webchat,40.6,10.0,13.84,0.8932,0.6274,service_level
2026-08-17,17,08:30,billing.webchat,webchat,117.85,23.0,31.84,0.8345,0.7919,service_level
2026-08-17,18,09:00,billing.webchat,webchat,162.69,31.0,42.91,0.8577,0.8111,service_level
2026-08-17,19,09:30,billing.webchat,webchat,194.36,37.0,51.22,0.8881,0.8118,occupancy
2026-08-17,20,10:00,billing.webchat,webchat,201.55,38.0,52.6,0.8792,0.8197,occupancy
2026-08-17,21,10:30,billing.webchat,webchat,182.83,35.0,48.45,0.8862,0.8073,occupancy
2026-08-17,22,11:00,billing.webchat,webchat,147.44,28.0,38.76,0.8324,0.8138,service_level
2026-08-17,23,11:30,billing.webchat,webchat,105.93,21.0,29.07,0.8381,0.7796,service_level
2026-08-17,24,12:00,billing.webchat,webchat,63.33,14.0,19.38,0.8758,0.6991,service_level
2026-08-17,25,12:30,billing.webchat,webchat,39.7,9.0,12.46,0.8114,0.6817,service_level
2026-08-17,26,13:00,billing.webchat,webchat,64.63,14.0,19.38,0.858,0.7134,service_level
2026-08-17,27,13:30,billing.webchat,webchat,117.27,23.0,31.84,0.8416,0.788,service_level
2026-08-17,28,14:00,billing.webchat,webchat,153.92,30.0,41.53,0.8827,0.7929,occupancy
2026-08-17,29,14:30,billing.webchat,webchat,164.24,31.0,42.91,0.8428,0.8188,service_level
2026-08-17,30,15:00,billing.webchat,webchat,154.13,30.0,41.53,0.881,0.794,occupancy
2026-08-17,31,15:30,billing.webchat,webchat,129.6,25.0,34.61,0.8341,0.8012,service_level
2026-08-17,32,16:00,billing.webchat,webchat,97.82,20.0,27.69,0.8661,0.7559,service_level
2026-08-17,33,16:30,billing.webchat,webchat,66.27,14.0,19.38,0.8329,0.7315,service_level
2026-08-17,34,17:00,billing.webchat,webchat,24.17,7.0,9.69,0.9137,0.5337,service_level
2026-08-17,35,17:30,billing.webchat,webchat,13.19,4.0,5.54,0.8333,0.5097,service_level
2026-08-18,16,08:00,billing.webchat,webchat,32.98,8.0,11.07,0.8423,0.6371,service_level
2026-08-18,17,08:30,billing.webchat,webchat,95.73,19.0,26.3,0.8193,0.7787,service_level
2026-08-18,18,09:00,billing.webchat,webchat,132.15,25.0,34.61,0.8023,0.8169,service_level
2026-08-18,19,09:30,billing.webchat,webchat,157.88,30.0,41.53,0.8471,0.8133,service_level
2026-08-18,20,10:00,billing.webchat,webchat,163.71,31.0,42.91,0.848,0.8162,service_level
2026-08-18,21,10:30,billing.webchat,webchat,148.51,28.0,38.76,0.8203,0.8197,service_level
2026-08-18,22,11:00,billing.webchat,webchat,119.76,23.0,31.84,0.8099,0.8047,service_level
2026-08-18,23,11:30,billing.webchat,webchat,86.04,18.0,24.92,0.8709,0.7388,service_level
2026-08-18,24,12:00,billing.webchat,webchat,51.44,12.0,16.61,0.8894,0.6625,service_level
2026-08-18,25,12:30,billing.webchat,webchat,32.25,8.0,11.07,0.8578,0.623,service_level
2026-08-18,26,13:00,billing.webchat,webchat,52.5,12.0,16.61,0.8748,0.6761,service_level
2026-08-18,27,13:30,billing.webchat,webchat,95.25,19.0,26.3,0.8261,0.7748,service_level
2026-08-18,28,14:00,billing.webchat,webchat,125.03,24.0,33.22,0.8182,0.8051,service_level
2026-08-18,29,14:30,billing.webchat,webchat,133.41,26.0,35.99,0.8566,0.793,service_level
2026-08-18,30,15:00,billing.webchat,webchat,125.19,24.0,33.22,0.816,0.8062,service_level
2026-08-18,31,15:30,billing.webchat,webchat,105.27,21.0,29.07,0.8462,0.7747,service_level
2026-08-18,32,16:00,billing.webchat,webchat,79.46,16.0,22.15,0.8028,0.7675,service_level
2026-08-18,33,16:30,billing.webchat,webchat,53.83,12.0,16.61,0.8545,0.6932,service_level
2026-08-18,34,17:00,billing.webchat,webchat,19.64,6.0,8.31,0.9103,0.5058,service_level
2026-08-18,35,17:30,billing.webchat,webchat,10.72,4.0,5.54,0.9104,0.414,service_level
2026-08-19,16,08:00,billing.webchat,webchat,28.19,7.0,9.69,0.832,0.6224,service_level
2026-08-19,17,08:30,billing.webchat,webchat,81.84,17.0,23.53,0.8529,0.744,service_level
2026-08-19,18,09:00,billing.webchat,webchat,112.97,22.0,30.45,0.8223,0.7936,service_level
2026-08-19,19,09:30,billing.webchat,webchat,134.97,26.0,35.99,0.8399,0.8023,service_level
2026-08-19,20,10:00,billing.webchat,webchat,139.96,27.0,37.38,0.8495,0.8011,service_level
2026-08-19,21,10:30,billing.webchat,webchat,126.96,25.0,34.61,0.8629,0.7848,service_level
2026-08-19,22,11:00,billing.webchat,webchat,102.39,20.0,27.69,0.807,0.7912,service_level
2026-08-19,23,11:30,billing.webchat,webchat,73.56,15.0,20.76,0.8056,0.7579,service_level
2026-08-19,24,12:00,billing.webchat,webchat,43.98,10.0,13.84,0.8358,0.6797,service_level
2026-08-19,25,12:30,billing.webchat,webchat,27.57,7.0,9.69,0.8471,0.6086,service_level
2026-08-19,26,13:00,billing.webchat,webchat,44.88,10.0,13.84,0.8175,0.6936,service_level
2026-08-19,27,13:30,billing.webchat,webchat,81.43,17.0,23.53,0.8582,0.7403,service_level
2026-08-19,28,14:00,billing.webchat,webchat,106.88,21.0,29.07,0.8257,0.7866,service_level
2026-08-19,29,14:30,billing.webchat,webchat,114.05,22.0,30.45,0.8077,0.8012,service_level
2026-08-19,30,15:00,billing.webchat,webchat,107.03,21.0,29.07,0.8238,0.7877,service_level
2026-08-19,31,15:30,billing.webchat,webchat,90.0,18.0,24.92,0.8185,0.7727,service_level
2026-08-19,32,16:00,billing.webchat,webchat,67.93,14.0,19.38,0.8043,0.7499,service_level
2026-08-19,33,16:30,billing.webchat,webchat,46.02,11.0,15.23,0.8908,0.6465,service_level
2026-08-19,34,17:00,billing.webchat,webchat,16.79,5.0,6.92,0.8688,0.5189,service_level
2026-08-19,35,17:30,billing.webchat,webchat,9.16,3.0,4.15,0.8079,0.4719,service_level
2026-08-20,16,08:00,billing.webchat,webchat,27.47,7.0,9.69,0.8493,0.6065,service_level
2026-08-20,17,08:30,billing.webchat,webchat,79.75,17.0,23.53,0.8786,0.725,service_level
2026-08-20,18,09:00,billing.webchat,webchat,110.09,22.0,30.45,0.8574,0.7734,service_level
2026-08-20,19,09:30,billing.webchat,webchat,131.53,25.0,34.61,0.8105,0.8131,service_level
2026-08-20,20,10:00,billing.webchat,webchat,136.39,26.0,35.99,0.8235,0.8107,service_level
2026-08-20,21,10:30,billing.webchat,webchat,123.72,24.0,33.22,0.8343,0.7967,service_level
2026-08-20,22,11:00,billing.webchat,webchat,99.77,20.0,27.69,0.8428,0.771,service_level
